bikes,disponibilityRate,name,zone,occupyRate,free,datetime,active,bases,dateMilliseconds,address,lat,lng,id
13,45,Puerta del Sol A,40.42--3.7,55,11,2014-07-10 19:00:08.951000,True,24,1405018808000,Puerta del Sol No 1,40.4168961,-3.7024255,1a
17,29,Puerta del Sol B,40.42--3.7,71,7,2014-07-10 19:00:08.951000,True,24,1405018808000,Puerta del Sol No 1,40.4170009,-3.7024207,1b
11,54,Miguel Moya,40.42--3.71,46,13,2014-07-10 19:00:08.951000,True,24,1405018808000,Miguel Moya No 1,40.4205886,-3.7058415,2
9,50,Conde Suchil,40.43--3.71,50,9,2014-07-10 19:00:08.951000,True,18,1405018808000, Plaza Conde Suchil No 2-4,40.4302937,-3.7069171,3
9,62,Malasaña,40.43--3.7,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Manuela Malasaña No 5,40.4285524,-3.7025875,4
12,55,Fuencarral,40.43--3.7,45,15,2014-07-10 19:00:08.951000,True,27,1405018808000,Calle Fuencarral No 108,40.428528,-3.7020599,5
6,75,Colegio Arquitectos,40.42--3.7,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Hortaleza No 63,40.424148,-3.698447,6
1,95,Hortaleza,40.43--3.7,5,20,2014-07-10 19:00:08.951000,True,21,1405018808000,Calle Hortaleza No 75,40.4251906,-3.6977715,7
4,83,Alonso Martinez,40.43--3.7,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Alonso Martinez No 5,40.4278682,-3.6954403,8
14,41,Pza. S.Miguel,40.42--3.71,59,10,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza San Miguel No 9,40.4156057,-3.7095084,9
5,79,Marques de la Ensenada,40.43--3.69,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Marques de la Ensenada No 16,40.4250863,-3.6918807,10
12,50,S.Andres,40.43--3.7,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle San Andres No 18,40.4269483,-3.7035918,11
18,25,S.Hermenegildo,40.43--3.71,75,6,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle San Bernardo No 85,40.4284246,-3.7061931,12
8,66,Conde Duque,40.43--3.71,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Conde Duque No 22,40.4273264,-3.7104417,13
8,66,Ventura Rodriguez,40.43--3.71,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Duque de Liria (ventura Rodriguez),40.4260957,-3.713479,14
4,80,S.Vicente Ferrer,40.43--3.71,20,17,2014-07-10 19:00:08.951000,True,21,1405018808000,Calle San Vicente Ferrer No 64,40.4261649,-3.7073764,15
9,57,S.Bernardo,40.42--3.71,43,12,2014-07-10 19:00:08.951000,True,21,1405018808000,Calle San Bernardo no 22,40.4230721,-3.7075065,16
14,41,Carlos Cambronero,40.42--3.7,59,10,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Carlos Cambronero No 2,40.4232649,-3.7038312,17
6,75,Vazquez de Mella,40.42--3.7,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Vazquez de Mella No 1,40.4207773,-3.6996502,18
7,70,Prim,40.42--3.7,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Prim no 2,40.4218616,-3.6954983,19
9,62,Banco de España,40.42--3.7,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Alcala No 49,40.4192342,-3.6954615,20a
11,54,Banco de España,40.42--3.7,46,13,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Alcala No 49,40.4192722,-3.695176,20b
4,83,Red de S.Luis A,40.42--3.7,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,Red de San Luis,40.4197872,-3.7014814,21a
3,87,Red de S.Luis B,40.42--3.7,13,21,2014-07-10 19:00:08.951000,True,24,1405018808000,Red de San Luis,40.4197204,-3.7015235,21b
9,62,Jacometrezo,40.42--3.71,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Jacometrezo No 3,40.4200783,-3.7065376,22
5,79, Sto. Domingo,40.42--3.71,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Santo Domingo No 1,40.4197429,-3.7080733,23
8,66,Palacio Oriente,40.42--3.71,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Carlos III No 1,40.4182146,-3.7103538,24
9,62,Pza. Celenque A,40.42--3.71,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Celenque No 1,40.4173114,-3.7064809,25a
5,79,Pza. Celenque B,40.42--3.71,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Celenque No 1,40.4172781,-3.7063837,25b
7,70,Barbara de Braganza,40.42--3.69,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,barbara de Braganza No 8,40.4235117,-3.693004,26
11,54,Huertas,40.41--3.7,46,13,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Jesus no 1,40.4132798,-3.6956178,27
6,75,Sevilla,40.42--3.7,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Alcala No 27,40.4181663,-3.69926,28
13,45,Marques de Cubas,40.42--3.7,55,11,2014-07-10 19:00:08.951000,True,24,1405018808000,Marques de Cubas,40.4162619,-3.6957355,29
7,74,S.Quintin,40.42--3.71,26,20,2014-07-10 19:00:08.951000,True,27,1405018808000,Calle Pavia No 6,40.4192095,-3.711504,30
8,70,Calle Mayor,40.42--3.71,30,19,2014-07-10 19:00:08.951000,True,27,1405018808000,Calle Mayor No 20,40.4163638,-3.7068969,31
0,100,Pza. de la Provincia,40.42--3.71,0,24,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de la Provincia,40.4150099,-3.7061032,32
8,66,Carretas,40.42--3.7,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Carretas No 8,40.4157138,-3.7031808,33
8,66,Jacinto Benavente,40.41--3.7,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Jacinto Benavente,40.4146755,-3.7036825,34
14,41,Pza. del Cordon,40.41--3.71,59,10,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza del Cordon,40.4141931,-3.7103285,35
8,66,Pza. Ramales,40.42--3.71,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Vergara Ramales No 1,40.4167281,-3.7124038,36
9,62,Pza. S.Francisco,40.41--3.71,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de San Francisco No 5,40.4108442,-3.7144964,37
10,58,Pza. de los Carros,40.41--3.71,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Carrera de San Francisco No 1,40.4110406,-3.7120734,38
11,59,Pza. Cebada,40.41--3.71,41,16,2014-07-10 19:00:08.951000,True,27,1405018808000,Plaza Cebada No 16,40.4112744,-3.7088337,39
12,50,Conde de Romanones,40.41--3.7,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza de Conde de Romanones No 9,40.4138846,-3.7049407,40
9,57,Anton Martin,40.41--3.7,43,12,2014-07-10 19:00:08.951000,True,21,1405018808000,"C/Atocha,54",40.4122047,-3.6991147,41
4,83,Santa Isabel,40.41--3.7,17,20,2014-07-10 19:00:08.951000,True,24,1405018808000,c/Atocha 95 (santa Isabel),40.4107085,-3.6982318,42
8,66,Jesus y Maria,40.41--3.7,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Plazuela en Calle Lavapies 34-36,40.4101564,-3.7025024,43
11,47,Cabestreros,40.41--3.7,53,10,2014-07-10 19:00:08.951000,True,21,1405018808000,c/mesosn de Paredes 35(cabestreros),40.4097617,-3.7040666,44
8,61,Puerta de Toledo,40.41--3.71,39,13,2014-07-10 19:00:08.951000,True,21,1405018808000,Gta. Puerta Toledo no 1,40.4070358,-3.7110513,45
10,58,Ribera de Curtidores,40.41--3.71,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,c/Ribera de Curtidores 28,40.4053153,-3.7071259,46
8,66,Embajadores 1,40.4--3.7,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Gta. Embajadores No 6,40.4047851,-3.7028265,47
11,54,Embajadores 2,40.41--3.7,46,13,2014-07-10 19:00:08.951000,True,24,1405018808000,Gta. Embajadores No 2,40.4056107,-3.7022591,48
9,62,Casa Encendida,40.41--3.7,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Ronda de Atocha 34,40.4060941,-3.6992759,49
7,70,Museo Reina Sofia,40.41--3.69,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,C/Santa isabel No 57,40.4083684,-3.6933463,50
