freeSpaces,month,freeBikesRate,temperature,hour,datetime,freeBikes,windSpeed,occupyBikesRate,humidity,occupyBikes,pressure,weatherText,visibility,dateMilliseconds,weatherCode,_id,day,minute,weekday
1976,7,73.7179487179,27,10,2014-07-15 10:10:01.668000,1150,3.22,26.2820512821,42,410,1015.92,Fair,9.99,1405419001000,34,53c4fe035237bc7a53564996,15,10,1
1968,7,74.2307692308,27,10,2014-07-15 10:20:01.817000,1158,3.22,25.7692307692,42.0,402,1015.92,Fair,9.99,1405419601000,34,53c5005c5237bc7b29f98d74,15,20,1
1966,7,74.358974359,28,10,2014-07-15 10:30:02.298000,1160,3.22,25.641025641,42.0,400,1015.92,Fair,9.99,1405420202000,34,53c502b45237bc7b4057ae8b,15,30,1
1956,7,75.0,28,10,2014-07-15 10:40:01.977000,1170,3.22,25.0,42.0,390,1015.92,Fair,9.99,1405420801000,34,53c5050b5237bc7b752cfa36,15,40,1
1951,7,75.3205128205,28,10,2014-07-15 10:50:02.374000,1175,3.22,24.6794871795,42.0,385,1015.92,Fair,9.99,1405421402000,34,53c507645237bc7c1e4be860,15,50,1
1956,7,75.0,29,11,2014-07-15 11:00:02.513000,1170,3.22,25.0,40.0,390,1015.92,Fair,9.99,1405422002000,34,53c509bb5237bc7cce92e4ea,15,0,1
1962,7,74.6153846154,29,11,2014-07-15 11:10:02.259000,1164,3.22,25.3846153846,40.0,396,1015.92,Fair,9.99,1405422602000,34,53c50c135237bc7d6aa2d32c,15,10,1
1979,7,73.5256410256,29,11,2014-07-15 11:20:01.767000,1147,3.22,26.4743589744,40.0,413,1015.92,Fair,9.99,1405423201000,34,53c50e6c5237bc7e26eace21,15,20,1
1986,7,73.0769230769,30,11,2014-07-15 11:30:02.489000,1140,8.05,26.9230769231,37.0,420,1015.92,Fair,9.99,1405423802000,34,53c510c45237bc7ed9ccc17c,15,30,1
1966,7,74.358974359,30,11,2014-07-15 11:40:02.260000,1160,8.05,25.641025641,37.0,400,1015.92,Fair,9.99,1405424402000,34,53c5131c5237bc7f8ffa0cbe,15,40,1
1969,7,74.1666666667,30,11,2014-07-15 11:50:02.071000,1157,8.05,25.8333333333,37.0,403,1015.92,Fair,9.99,1405425002000,34,53c515765237bc015bcc419f,15,50,1
1961,7,74.6794871795,30,12,2014-07-15 12:00:01.776000,1165,8.05,25.3205128205,35.0,395,1015.92,Fair,9.99,1405425601000,34,53c517cc5237bc021cff1a36,15,0,1
1957,7,74.9358974359,30,12,2014-07-15 12:10:02.209000,1169,8.05,25.0641025641,35.0,391,1015.92,Fair,9.99,1405426202000,34,53c51a235237bc02cfddf54b,15,10,1
1971,7,74.0384615385,30,12,2014-07-15 12:20:02.275000,1155,8.05,25.9615384615,35.0,405,1015.92,Fair,9.99,1405426802000,34,53c51c7b5237bc038166483d,15,20,1
1979,7,73.5256410256,32,12,2014-07-15 12:30:01.684000,1147,8.05,26.4743589744,31.0,413,1015.92,Fair,9.99,1405427401000,34,53c51ed35237bc042fd5125b,15,30,1
1973,7,73.9102564103,32,12,2014-07-15 12:40:02.601000,1153,8.05,26.0897435897,31.0,407,1015.92,Fair,9.99,1405428002000,34,53c5212c5237bc04f5069dcf,15,40,1
1963,7,74.5512820513,32,12,2014-07-15 12:50:01.692000,1163,8.05,25.4487179487,31.0,397,1015.92,Fair,9.99,1405428601000,34,53c523835237bc05ae8d8c1b,15,50,1
1952,7,75.2564102564,33,13,2014-07-15 13:00:02.199000,1174,8.05,24.7435897436,28.0,386,1015.92,Fair,9.99,1405429202000,34,53c525dc5237bc065c75cf98,15,0,1
1948,7,75.5128205128,33,13,2014-07-15 13:10:01.639000,1178,8.05,24.4871794872,28.0,382,1015.92,Fair,9.99,1405429801000,34,53c528335237bc07056f0b97,15,10,1
1952,7,75.2564102564,33,13,2014-07-15 13:20:01.752000,1174,8.05,24.7435897436,28.0,386,1015.92,Fair,9.99,1405430401000,34,53c52a8b5237bc07a9c26af1,15,20,1
